Driver,GridPosition,TeamName,Year,Race
BOT,1.0,Mercedes,2020,Pre-Season Test 1
LEC,7.0,Ferrari,2020,Pre-Season Test 1
NOR,3.0,McLaren,2020,Pre-Season Test 1
HAM,5.0,Mercedes,2020,Pre-Season Test 1
SAI,8.0,McLaren,2020,Pre-Season Test 1
PER,6.0,Racing Point,2020,Pre-Season Test 1
GAS,12.0,AlphaTauri,2020,Pre-Season Test 1
OCO,14.0,Renault,2020,Pre-Season Test 1
GIO,18.0,Alfa Romeo Racing,2020,Pre-Season Test 1
VET,11.0,Ferrari,2020,Pre-Season Test 1
LAT,20.0,Williams,2020,Pre-Season Test 1
KVY,13.0,AlphaTauri,2020,Pre-Season Test 1
ALB,4.0,Red Bull Racing,2020,Pre-Season Test 1
RAI,19.0,Alfa Romeo Racing,2020,Pre-Season Test 1
RUS,17.0,Williams,2020,Pre-Season Test 1
GRO,15.0,Haas F1 Team,2020,Pre-Season Test 1
MAG,16.0,Haas F1 Team,2020,Pre-Season Test 1
STR,9.0,Racing Point,2020,Pre-Season Test 1
RIC,10.0,Renault,2020,Pre-Season Test 1
VER,2.0,Red Bull Racing,2020,Pre-Season Test 1
BOT,1.0,Mercedes,2020,Pre-Season Test 2
LEC,7.0,Ferrari,2020,Pre-Season Test 2
NOR,3.0,McLaren,2020,Pre-Season Test 2
HAM,5.0,Mercedes,2020,Pre-Season Test 2
SAI,8.0,McLaren,2020,Pre-Season Test 2
PER,6.0,Racing Point,2020,Pre-Season Test 2
GAS,12.0,AlphaTauri,2020,Pre-Season Test 2
OCO,14.0,Renault,2020,Pre-Season Test 2
GIO,18.0,Alfa Romeo Racing,2020,Pre-Season Test 2
VET,11.0,Ferrari,2020,Pre-Season Test 2
LAT,20.0,Williams,2020,Pre-Season Test 2
KVY,13.0,AlphaTauri,2020,Pre-Season Test 2
ALB,4.0,Red Bull Racing,2020,Pre-Season Test 2
RAI,19.0,Alfa Romeo Racing,2020,Pre-Season Test 2
RUS,17.0,Williams,2020,Pre-Season Test 2
GRO,15.0,Haas F1 Team,2020,Pre-Season Test 2
MAG,16.0,Haas F1 Team,2020,Pre-Season Test 2
STR,9.0,Racing Point,2020,Pre-Season Test 2
RIC,10.0,Renault,2020,Pre-Season Test 2
VER,2.0,Red Bull Racing,2020,Pre-Season Test 2
BOT,1.0,Mercedes,2020,Austrian Grand Prix
LEC,7.0,Ferrari,2020,Austrian Grand Prix
NOR,3.0,McLaren,2020,Austrian Grand Prix
HAM,5.0,Mercedes,2020,Austrian Grand Prix
SAI,8.0,McLaren,2020,Austrian Grand Prix
PER,6.0,Racing Point,2020,Austrian Grand Prix
GAS,12.0,AlphaTauri,2020,Austrian Grand Prix
OCO,14.0,Renault,2020,Austrian Grand Prix
GIO,18.0,Alfa Romeo Racing,2020,Austrian Grand Prix
VET,11.0,Ferrari,2020,Austrian Grand Prix
LAT,20.0,Williams,2020,Austrian Grand Prix
KVY,13.0,AlphaTauri,2020,Austrian Grand Prix
ALB,4.0,Red Bull Racing,2020,Austrian Grand Prix
RAI,19.0,Alfa Romeo Racing,2020,Austrian Grand Prix
RUS,17.0,Williams,2020,Austrian Grand Prix
GRO,15.0,Haas F1 Team,2020,Austrian Grand Prix
MAG,16.0,Haas F1 Team,2020,Austrian Grand Prix
STR,9.0,Racing Point,2020,Austrian Grand Prix
RIC,10.0,Renault,2020,Austrian Grand Prix
VER,2.0,Red Bull Racing,2020,Austrian Grand Prix
HAM,1.0,Mercedes,2020,Styrian Grand Prix
BOT,4.0,Mercedes,2020,Styrian Grand Prix
VER,2.0,Red Bull Racing,2020,Styrian Grand Prix
ALB,6.0,Red Bull Racing,2020,Styrian Grand Prix
NOR,9.0,McLaren,2020,Styrian Grand Prix
PER,17.0,Racing Point,2020,Styrian Grand Prix
STR,12.0,Racing Point,2020,Styrian Grand Prix
RIC,8.0,Renault,2020,Styrian Grand Prix
SAI,3.0,McLaren,2020,Styrian Grand Prix
KVY,13.0,AlphaTauri,2020,Styrian Grand Prix
RAI,16.0,Alfa Romeo Racing,2020,Styrian Grand Prix
MAG,15.0,Haas F1 Team,2020,Styrian Grand Prix
GRO,0.0,Haas F1 Team,2020,Styrian Grand Prix
GIO,19.0,Alfa Romeo Racing,2020,Styrian Grand Prix
GAS,7.0,AlphaTauri,2020,Styrian Grand Prix
RUS,11.0,Williams,2020,Styrian Grand Prix
LAT,18.0,Williams,2020,Styrian Grand Prix
OCO,5.0,Renault,2020,Styrian Grand Prix
LEC,14.0,Ferrari,2020,Styrian Grand Prix
VET,10.0,Ferrari,2020,Styrian Grand Prix
HAM,1.0,Mercedes,2020,Hungarian Grand Prix
VER,7.0,Red Bull Racing,2020,Hungarian Grand Prix
BOT,2.0,Mercedes,2020,Hungarian Grand Prix
STR,3.0,Racing Point,2020,Hungarian Grand Prix
ALB,13.0,Red Bull Racing,2020,Hungarian Grand Prix
VET,5.0,Ferrari,2020,Hungarian Grand Prix
PER,4.0,Racing Point,2020,Hungarian Grand Prix
RIC,11.0,Renault,2020,Hungarian Grand Prix
SAI,9.0,McLaren,2020,Hungarian Grand Prix
MAG,0.0,Haas F1 Team,2020,Hungarian Grand Prix
LEC,6.0,Ferrari,2020,Hungarian Grand Prix
KVY,17.0,AlphaTauri,2020,Hungarian Grand Prix
NOR,8.0,McLaren,2020,Hungarian Grand Prix
OCO,14.0,Renault,2020,Hungarian Grand Prix
RAI,20.0,Alfa Romeo Racing,2020,Hungarian Grand Prix
GRO,0.0,Haas F1 Team,2020,Hungarian Grand Prix
GIO,19.0,Alfa Romeo Racing,2020,Hungarian Grand Prix
RUS,12.0,Williams,2020,Hungarian Grand Prix
LAT,15.0,Williams,2020,Hungarian Grand Prix
GAS,10.0,AlphaTauri,2020,Hungarian Grand Prix
HAM,1.0,Mercedes,2020,British Grand Prix
VER,3.0,Red Bull Racing,2020,British Grand Prix
LEC,4.0,Ferrari,2020,British Grand Prix
RIC,8.0,Renault,2020,British Grand Prix
NOR,5.0,McLaren,2020,British Grand Prix
OCO,9.0,Renault,2020,British Grand Prix
GAS,11.0,AlphaTauri,2020,British Grand Prix
ALB,12.0,Red Bull Racing,2020,British Grand Prix
STR,6.0,Racing Point,2020,British Grand Prix
VET,10.0,Ferrari,2020,British Grand Prix
BOT,2.0,Mercedes,2020,British Grand Prix
RUS,20.0,Williams,2020,British Grand Prix
SAI,7.0,McLaren,2020,British Grand Prix
GIO,15.0,Alfa Romeo Racing,2020,British Grand Prix
LAT,18.0,Williams,2020,British Grand Prix
GRO,17.0,Haas F1 Team,2020,British Grand Prix
RAI,16.0,Alfa Romeo Racing,2020,British Grand Prix
KVY,19.0,AlphaTauri,2020,British Grand Prix
MAG,14.0,Haas F1 Team,2020,British Grand Prix
HUL,13.0,Racing Point,2020,British Grand Prix
VER,4.0,Red Bull Racing,2020,70th Anniversary Grand Prix
HAM,2.0,Mercedes,2020,70th Anniversary Grand Prix
BOT,1.0,Mercedes,2020,70th Anniversary Grand Prix
LEC,8.0,Ferrari,2020,70th Anniversary Grand Prix
ALB,9.0,Red Bull Racing,2020,70th Anniversary Grand Prix
STR,6.0,Racing Point,2020,70th Anniversary Grand Prix
HUL,3.0,Racing Point,2020,70th Anniversary Grand Prix
OCO,14.0,Renault,2020,70th Anniversary Grand Prix
NOR,10.0,McLaren,2020,70th Anniversary Grand Prix
KVY,16.0,AlphaTauri,2020,70th Anniversary Grand Prix
GAS,7.0,AlphaTauri,2020,70th Anniversary Grand Prix
VET,11.0,Ferrari,2020,70th Anniversary Grand Prix
SAI,12.0,McLaren,2020,70th Anniversary Grand Prix
RIC,5.0,Renault,2020,70th Anniversary Grand Prix
RAI,20.0,Alfa Romeo Racing,2020,70th Anniversary Grand Prix
GRO,13.0,Haas F1 Team,2020,70th Anniversary Grand Prix
GIO,19.0,Alfa Romeo Racing,2020,70th Anniversary Grand Prix
RUS,15.0,Williams,2020,70th Anniversary Grand Prix
LAT,18.0,Williams,2020,70th Anniversary Grand Prix
MAG,17.0,Haas F1 Team,2020,70th Anniversary Grand Prix
HAM,1.0,Mercedes,2020,Spanish Grand Prix
VER,3.0,Red Bull Racing,2020,Spanish Grand Prix
BOT,2.0,Mercedes,2020,Spanish Grand Prix
STR,5.0,Racing Point,2020,Spanish Grand Prix
PER,4.0,Racing Point,2020,Spanish Grand Prix
SAI,7.0,McLaren,2020,Spanish Grand Prix
VET,11.0,Ferrari,2020,Spanish Grand Prix
ALB,6.0,Red Bull Racing,2020,Spanish Grand Prix
GAS,10.0,AlphaTauri,2020,Spanish Grand Prix
NOR,8.0,McLaren,2020,Spanish Grand Prix
RIC,13.0,Renault,2020,Spanish Grand Prix
KVY,12.0,AlphaTauri,2020,Spanish Grand Prix
OCO,15.0,Renault,2020,Spanish Grand Prix
RAI,14.0,Alfa Romeo Racing,2020,Spanish Grand Prix
MAG,16.0,Haas F1 Team,2020,Spanish Grand Prix
GIO,20.0,Alfa Romeo Racing,2020,Spanish Grand Prix
RUS,18.0,Williams,2020,Spanish Grand Prix
LAT,19.0,Williams,2020,Spanish Grand Prix
GRO,17.0,Haas F1 Team,2020,Spanish Grand Prix
LEC,9.0,Ferrari,2020,Spanish Grand Prix
HAM,1.0,Mercedes,2020,Belgian Grand Prix
BOT,2.0,Mercedes,2020,Belgian Grand Prix
VER,3.0,Red Bull Racing,2020,Belgian Grand Prix
RIC,4.0,Renault,2020,Belgian Grand Prix
OCO,6.0,Renault,2020,Belgian Grand Prix
ALB,5.0,Red Bull Racing,2020,Belgian Grand Prix
NOR,10.0,McLaren,2020,Belgian Grand Prix
GAS,12.0,AlphaTauri,2020,Belgian Grand Prix
STR,9.0,Racing Point,2020,Belgian Grand Prix
PER,8.0,Racing Point,2020,Belgian Grand Prix
KVY,11.0,AlphaTauri,2020,Belgian Grand Prix
RAI,16.0,Alfa Romeo Racing,2020,Belgian Grand Prix
VET,14.0,Ferrari,2020,Belgian Grand Prix
LEC,13.0,Ferrari,2020,Belgian Grand Prix
GRO,17.0,Haas F1 Team,2020,Belgian Grand Prix
LAT,19.0,Williams,2020,Belgian Grand Prix
MAG,20.0,Haas F1 Team,2020,Belgian Grand Prix
GIO,18.0,Alfa Romeo Racing,2020,Belgian Grand Prix
RUS,15.0,Williams,2020,Belgian Grand Prix
SAI,7.0,McLaren,2020,Belgian Grand Prix
GAS,10.0,AlphaTauri,2020,Italian Grand Prix
SAI,3.0,McLaren,2020,Italian Grand Prix
STR,8.0,Racing Point,2020,Italian Grand Prix
NOR,6.0,McLaren,2020,Italian Grand Prix
BOT,2.0,Mercedes,2020,Italian Grand Prix
RIC,7.0,Renault,2020,Italian Grand Prix
HAM,1.0,Mercedes,2020,Italian Grand Prix
OCO,12.0,Renault,2020,Italian Grand Prix
KVY,11.0,AlphaTauri,2020,Italian Grand Prix
PER,4.0,Racing Point,2020,Italian Grand Prix
LAT,20.0,Williams,2020,Italian Grand Prix
GRO,16.0,Haas F1 Team,2020,Italian Grand Prix
RAI,14.0,Alfa Romeo Racing,2020,Italian Grand Prix
RUS,19.0,Williams,2020,Italian Grand Prix
ALB,9.0,Red Bull Racing,2020,Italian Grand Prix
GIO,18.0,Alfa Romeo Racing,2020,Italian Grand Prix
VER,5.0,Red Bull Racing,2020,Italian Grand Prix
LEC,13.0,Ferrari,2020,Italian Grand Prix
MAG,15.0,Haas F1 Team,2020,Italian Grand Prix
VET,17.0,Ferrari,2020,Italian Grand Prix
HAM,1.0,Mercedes,2020,Tuscan Grand Prix
BOT,2.0,Mercedes,2020,Tuscan Grand Prix
ALB,4.0,Red Bull Racing,2020,Tuscan Grand Prix
RIC,8.0,Renault,2020,Tuscan Grand Prix
PER,7.0,Racing Point,2020,Tuscan Grand Prix
NOR,11.0,McLaren,2020,Tuscan Grand Prix
KVY,12.0,AlphaTauri,2020,Tuscan Grand Prix
LEC,5.0,Ferrari,2020,Tuscan Grand Prix
RAI,13.0,Alfa Romeo Racing,2020,Tuscan Grand Prix
VET,14.0,Ferrari,2020,Tuscan Grand Prix
RUS,18.0,Williams,2020,Tuscan Grand Prix
GRO,15.0,Haas F1 Team,2020,Tuscan Grand Prix
STR,6.0,Racing Point,2020,Tuscan Grand Prix
OCO,10.0,Renault,2020,Tuscan Grand Prix
LAT,19.0,Williams,2020,Tuscan Grand Prix
MAG,20.0,Haas F1 Team,2020,Tuscan Grand Prix
GIO,17.0,Alfa Romeo Racing,2020,Tuscan Grand Prix
SAI,9.0,McLaren,2020,Tuscan Grand Prix
VER,3.0,Red Bull Racing,2020,Tuscan Grand Prix
GAS,16.0,AlphaTauri,2020,Tuscan Grand Prix
BOT,3.0,Mercedes,2020,Russian Grand Prix
VER,2.0,Red Bull Racing,2020,Russian Grand Prix
HAM,1.0,Mercedes,2020,Russian Grand Prix
PER,4.0,Racing Point,2020,Russian Grand Prix
RIC,5.0,Renault,2020,Russian Grand Prix
LEC,10.0,Ferrari,2020,Russian Grand Prix
OCO,7.0,Renault,2020,Russian Grand Prix
KVY,11.0,AlphaTauri,2020,Russian Grand Prix
GAS,9.0,AlphaTauri,2020,Russian Grand Prix
ALB,15.0,Red Bull Racing,2020,Russian Grand Prix
GIO,17.0,Alfa Romeo Racing,2020,Russian Grand Prix
MAG,18.0,Haas F1 Team,2020,Russian Grand Prix
VET,14.0,Ferrari,2020,Russian Grand Prix
RAI,19.0,Alfa Romeo Racing,2020,Russian Grand Prix
NOR,8.0,McLaren,2020,Russian Grand Prix
LAT,20.0,Williams,2020,Russian Grand Prix
GRO,16.0,Haas F1 Team,2020,Russian Grand Prix
RUS,13.0,Williams,2020,Russian Grand Prix
SAI,6.0,McLaren,2020,Russian Grand Prix
STR,12.0,Racing Point,2020,Russian Grand Prix
HAM,2.0,Mercedes,2020,Eifel Grand Prix
VER,3.0,Red Bull Racing,2020,Eifel Grand Prix
RIC,6.0,Renault,2020,Eifel Grand Prix
PER,9.0,Racing Point,2020,Eifel Grand Prix
SAI,10.0,McLaren,2020,Eifel Grand Prix
GAS,12.0,AlphaTauri,2020,Eifel Grand Prix
LEC,4.0,Ferrari,2020,Eifel Grand Prix
HUL,20.0,Racing Point,2020,Eifel Grand Prix
GRO,16.0,Haas F1 Team,2020,Eifel Grand Prix
GIO,14.0,Alfa Romeo Racing,2020,Eifel Grand Prix
VET,11.0,Ferrari,2020,Eifel Grand Prix
RAI,19.0,Alfa Romeo Racing,2020,Eifel Grand Prix
MAG,15.0,Haas F1 Team,2020,Eifel Grand Prix
LAT,18.0,Williams,2020,Eifel Grand Prix
KVY,13.0,AlphaTauri,2020,Eifel Grand Prix
NOR,8.0,McLaren,2020,Eifel Grand Prix
ALB,5.0,Red Bull Racing,2020,Eifel Grand Prix
OCO,7.0,Renault,2020,Eifel Grand Prix
BOT,1.0,Mercedes,2020,Eifel Grand Prix
RUS,17.0,Williams,2020,Eifel Grand Prix
HAM,1.0,Mercedes,2020,Portuguese Grand Prix
BOT,2.0,Mercedes,2020,Portuguese Grand Prix
VER,3.0,Red Bull Racing,2020,Portuguese Grand Prix
LEC,4.0,Ferrari,2020,Portuguese Grand Prix
GAS,9.0,AlphaTauri,2020,Portuguese Grand Prix
SAI,7.0,McLaren,2020,Portuguese Grand Prix
PER,5.0,Racing Point,2020,Portuguese Grand Prix
OCO,11.0,Renault,2020,Portuguese Grand Prix
RIC,10.0,Renault,2020,Portuguese Grand Prix
VET,15.0,Ferrari,2020,Portuguese Grand Prix
RAI,16.0,Alfa Romeo Racing,2020,Portuguese Grand Prix
ALB,6.0,Red Bull Racing,2020,Portuguese Grand Prix
NOR,8.0,McLaren,2020,Portuguese Grand Prix
RUS,14.0,Williams,2020,Portuguese Grand Prix
GIO,17.0,Alfa Romeo Racing,2020,Portuguese Grand Prix
MAG,19.0,Haas F1 Team,2020,Portuguese Grand Prix
GRO,18.0,Haas F1 Team,2020,Portuguese Grand Prix
LAT,20.0,Williams,2020,Portuguese Grand Prix
KVY,13.0,AlphaTauri,2020,Portuguese Grand Prix
STR,12.0,Racing Point,2020,Portuguese Grand Prix
HAM,2.0,Mercedes,2020,Emilia Romagna Grand Prix
BOT,1.0,Mercedes,2020,Emilia Romagna Grand Prix
RIC,5.0,Renault,2020,Emilia Romagna Grand Prix
KVY,8.0,AlphaTauri,2020,Emilia Romagna Grand Prix
LEC,7.0,Ferrari,2020,Emilia Romagna Grand Prix
PER,11.0,Racing Point,2020,Emilia Romagna Grand Prix
SAI,10.0,McLaren,2020,Emilia Romagna Grand Prix
NOR,9.0,McLaren,2020,Emilia Romagna Grand Prix
RAI,18.0,Alfa Romeo Racing,2020,Emilia Romagna Grand Prix
GIO,20.0,Alfa Romeo Racing,2020,Emilia Romagna Grand Prix
LAT,19.0,Williams,2020,Emilia Romagna Grand Prix
VET,14.0,Ferrari,2020,Emilia Romagna Grand Prix
STR,15.0,Racing Point,2020,Emilia Romagna Grand Prix
GRO,16.0,Haas F1 Team,2020,Emilia Romagna Grand Prix
ALB,6.0,Red Bull Racing,2020,Emilia Romagna Grand Prix
RUS,13.0,Williams,2020,Emilia Romagna Grand Prix
VER,3.0,Red Bull Racing,2020,Emilia Romagna Grand Prix
MAG,17.0,Haas F1 Team,2020,Emilia Romagna Grand Prix
OCO,12.0,Renault,2020,Emilia Romagna Grand Prix
GAS,4.0,AlphaTauri,2020,Emilia Romagna Grand Prix
HAM,6.0,Mercedes,2020,Turkish Grand Prix
PER,3.0,Racing Point,2020,Turkish Grand Prix
VET,11.0,Ferrari,2020,Turkish Grand Prix
LEC,12.0,Ferrari,2020,Turkish Grand Prix
SAI,15.0,McLaren,2020,Turkish Grand Prix
VER,2.0,Red Bull Racing,2020,Turkish Grand Prix
ALB,4.0,Red Bull Racing,2020,Turkish Grand Prix
NOR,14.0,McLaren,2020,Turkish Grand Prix
STR,1.0,Racing Point,2020,Turkish Grand Prix
RIC,5.0,Renault,2020,Turkish Grand Prix
OCO,7.0,Renault,2020,Turkish Grand Prix
KVY,16.0,AlphaTauri,2020,Turkish Grand Prix
GAS,19.0,AlphaTauri,2020,Turkish Grand Prix
BOT,9.0,Mercedes,2020,Turkish Grand Prix
RAI,8.0,Alfa Romeo Racing,2020,Turkish Grand Prix
RUS,0.0,Williams,2020,Turkish Grand Prix
MAG,13.0,Haas F1 Team,2020,Turkish Grand Prix
GRO,17.0,Haas F1 Team,2020,Turkish Grand Prix
LAT,0.0,Williams,2020,Turkish Grand Prix
GIO,10.0,Alfa Romeo Racing,2020,Turkish Grand Prix
HAM,1.0,Mercedes,2020,Bahrain Grand Prix
VER,3.0,Red Bull Racing,2020,Bahrain Grand Prix
ALB,4.0,Red Bull Racing,2020,Bahrain Grand Prix
NOR,9.0,McLaren,2020,Bahrain Grand Prix
SAI,15.0,McLaren,2020,Bahrain Grand Prix
GAS,8.0,AlphaTauri,2020,Bahrain Grand Prix
RIC,6.0,Renault,2020,Bahrain Grand Prix
BOT,2.0,Mercedes,2020,Bahrain Grand Prix
OCO,7.0,Renault,2020,Bahrain Grand Prix
LEC,12.0,Ferrari,2020,Bahrain Grand Prix
KVY,10.0,AlphaTauri,2020,Bahrain Grand Prix
RUS,14.0,Williams,2020,Bahrain Grand Prix
VET,11.0,Ferrari,2020,Bahrain Grand Prix
LAT,20.0,Williams,2020,Bahrain Grand Prix
RAI,17.0,Alfa Romeo Racing,2020,Bahrain Grand Prix
GIO,16.0,Alfa Romeo Racing,2020,Bahrain Grand Prix
MAG,18.0,Haas F1 Team,2020,Bahrain Grand Prix
PER,5.0,Racing Point,2020,Bahrain Grand Prix
STR,13.0,Racing Point,2020,Bahrain Grand Prix
GRO,19.0,Haas F1 Team,2020,Bahrain Grand Prix
PER,5.0,Racing Point,2020,Sakhir Grand Prix
OCO,11.0,Renault,2020,Sakhir Grand Prix
STR,10.0,Racing Point,2020,Sakhir Grand Prix
SAI,8.0,McLaren,2020,Sakhir Grand Prix
RIC,7.0,Renault,2020,Sakhir Grand Prix
ALB,12.0,Red Bull Racing,2020,Sakhir Grand Prix
KVY,6.0,AlphaTauri,2020,Sakhir Grand Prix
BOT,1.0,Mercedes,2020,Sakhir Grand Prix
RUS,2.0,Mercedes,2020,Sakhir Grand Prix
NOR,19.0,McLaren,2020,Sakhir Grand Prix
GAS,9.0,AlphaTauri,2020,Sakhir Grand Prix
VET,13.0,Ferrari,2020,Sakhir Grand Prix
GIO,14.0,Alfa Romeo Racing,2020,Sakhir Grand Prix
