Driver,GridPosition,TeamName,Year,Race
RAI,18.0,Alfa Romeo Racing,2020,Sakhir Grand Prix
MAG,15.0,Haas F1 Team,2020,Sakhir Grand Prix
AIT,17.0,Williams,2020,Sakhir Grand Prix
FIT,20.0,Haas F1 Team,2020,Sakhir Grand Prix
LAT,16.0,Williams,2020,Sakhir Grand Prix
VER,3.0,Red Bull Racing,2020,Sakhir Grand Prix
LEC,4.0,Ferrari,2020,Sakhir Grand Prix
VER,1.0,Red Bull Racing,2020,Abu Dhabi Grand Prix
BOT,2.0,Mercedes,2020,Abu Dhabi Grand Prix
HAM,3.0,Mercedes,2020,Abu Dhabi Grand Prix
ALB,5.0,Red Bull Racing,2020,Abu Dhabi Grand Prix
NOR,4.0,McLaren,2020,Abu Dhabi Grand Prix
SAI,6.0,McLaren,2020,Abu Dhabi Grand Prix
RIC,11.0,Renault,2020,Abu Dhabi Grand Prix
GAS,9.0,AlphaTauri,2020,Abu Dhabi Grand Prix
OCO,10.0,Renault,2020,Abu Dhabi Grand Prix
STR,8.0,Racing Point,2020,Abu Dhabi Grand Prix
KVY,7.0,AlphaTauri,2020,Abu Dhabi Grand Prix
RAI,15.0,Alfa Romeo Racing,2020,Abu Dhabi Grand Prix
LEC,12.0,Ferrari,2020,Abu Dhabi Grand Prix
VET,13.0,Ferrari,2020,Abu Dhabi Grand Prix
RUS,16.0,Williams,2020,Abu Dhabi Grand Prix
GIO,14.0,Alfa Romeo Racing,2020,Abu Dhabi Grand Prix
LAT,18.0,Williams,2020,Abu Dhabi Grand Prix
MAG,20.0,Haas F1 Team,2020,Abu Dhabi Grand Prix
FIT,17.0,Haas F1 Team,2020,Abu Dhabi Grand Prix
PER,19.0,Racing Point,2020,Abu Dhabi Grand Prix
VER,1.0,Red Bull Racing,2021,Pre-Season Test
HAM,2.0,Mercedes,2021,Pre-Season Test
PER,3.0,Red Bull Racing,2021,Pre-Season Test
LEC,4.0,Ferrari,2021,Pre-Season Test
RIC,6.0,McLaren,2021,Pre-Season Test
BOT,9.0,Mercedes,2021,Pre-Season Test
SAI,5.0,Ferrari,2021,Pre-Season Test
NOR,7.0,McLaren,2021,Pre-Season Test
TSU,10.0,AlphaTauri,2021,Pre-Season Test
VET,18.0,Aston Martin,2021,Pre-Season Test
GIO,12.0,Alfa Romeo Racing,2021,Pre-Season Test
STR,13.0,Aston Martin,2021,Pre-Season Test
RAI,15.0,Alfa Romeo Racing,2021,Pre-Season Test
RUS,20.0,Williams,2021,Pre-Season Test
LAT,14.0,Williams,2021,Pre-Season Test
MSC,16.0,Haas F1 Team,2021,Pre-Season Test
MAZ,17.0,Haas F1 Team,2021,Pre-Season Test
ALO,19.0,Alpine,2021,Pre-Season Test
OCO,11.0,Alpine,2021,Pre-Season Test
GAS,8.0,AlphaTauri,2021,Pre-Season Test
HAM,2.0,Mercedes,2021,Bahrain Grand Prix
VER,1.0,Red Bull Racing,2021,Bahrain Grand Prix
BOT,3.0,Mercedes,2021,Bahrain Grand Prix
NOR,7.0,McLaren,2021,Bahrain Grand Prix
PER,0.0,Red Bull Racing,2021,Bahrain Grand Prix
LEC,4.0,Ferrari,2021,Bahrain Grand Prix
RIC,6.0,McLaren,2021,Bahrain Grand Prix
SAI,8.0,Ferrari,2021,Bahrain Grand Prix
TSU,13.0,AlphaTauri,2021,Bahrain Grand Prix
STR,10.0,Aston Martin,2021,Bahrain Grand Prix
RAI,14.0,Alfa Romeo Racing,2021,Bahrain Grand Prix
GIO,12.0,Alfa Romeo Racing,2021,Bahrain Grand Prix
OCO,16.0,Alpine,2021,Bahrain Grand Prix
RUS,15.0,Williams,2021,Bahrain Grand Prix
VET,20.0,Aston Martin,2021,Bahrain Grand Prix
MSC,18.0,Haas F1 Team,2021,Bahrain Grand Prix
GAS,5.0,AlphaTauri,2021,Bahrain Grand Prix
LAT,17.0,Williams,2021,Bahrain Grand Prix
ALO,9.0,Alpine,2021,Bahrain Grand Prix
MAZ,19.0,Haas F1 Team,2021,Bahrain Grand Prix
VER,3.0,Red Bull Racing,2021,Emilia Romagna Grand Prix
HAM,1.0,Mercedes,2021,Emilia Romagna Grand Prix
NOR,7.0,McLaren,2021,Emilia Romagna Grand Prix
LEC,4.0,Ferrari,2021,Emilia Romagna Grand Prix
SAI,11.0,Ferrari,2021,Emilia Romagna Grand Prix
RIC,6.0,McLaren,2021,Emilia Romagna Grand Prix
GAS,5.0,AlphaTauri,2021,Emilia Romagna Grand Prix
STR,10.0,Aston Martin,2021,Emilia Romagna Grand Prix
OCO,9.0,Alpine,2021,Emilia Romagna Grand Prix
ALO,15.0,Alpine,2021,Emilia Romagna Grand Prix
PER,2.0,Red Bull Racing,2021,Emilia Romagna Grand Prix
TSU,20.0,AlphaTauri,2021,Emilia Romagna Grand Prix
RAI,16.0,Alfa Romeo Racing,2021,Emilia Romagna Grand Prix
GIO,17.0,Alfa Romeo Racing,2021,Emilia Romagna Grand Prix
VET,0.0,Aston Martin,2021,Emilia Romagna Grand Prix
MSC,18.0,Haas F1 Team,2021,Emilia Romagna Grand Prix
MAZ,19.0,Haas F1 Team,2021,Emilia Romagna Grand Prix
BOT,8.0,Mercedes,2021,Emilia Romagna Grand Prix
RUS,12.0,Williams,2021,Emilia Romagna Grand Prix
LAT,14.0,Williams,2021,Emilia Romagna Grand Prix
HAM,2.0,Mercedes,2021,Portuguese Grand Prix
VER,3.0,Red Bull Racing,2021,Portuguese Grand Prix
BOT,1.0,Mercedes,2021,Portuguese Grand Prix
PER,4.0,Red Bull Racing,2021,Portuguese Grand Prix
NOR,7.0,McLaren,2021,Portuguese Grand Prix
LEC,8.0,Ferrari,2021,Portuguese Grand Prix
OCO,6.0,Alpine,2021,Portuguese Grand Prix
ALO,13.0,Alpine,2021,Portuguese Grand Prix
RIC,16.0,McLaren,2021,Portuguese Grand Prix
GAS,9.0,AlphaTauri,2021,Portuguese Grand Prix
SAI,5.0,Ferrari,2021,Portuguese Grand Prix
GIO,12.0,Alfa Romeo Racing,2021,Portuguese Grand Prix
VET,10.0,Aston Martin,2021,Portuguese Grand Prix
STR,17.0,Aston Martin,2021,Portuguese Grand Prix
TSU,14.0,AlphaTauri,2021,Portuguese Grand Prix
RUS,11.0,Williams,2021,Portuguese Grand Prix
MSC,19.0,Haas F1 Team,2021,Portuguese Grand Prix
LAT,18.0,Williams,2021,Portuguese Grand Prix
MAZ,20.0,Haas F1 Team,2021,Portuguese Grand Prix
RAI,15.0,Alfa Romeo Racing,2021,Portuguese Grand Prix
HAM,1.0,Mercedes,2021,Spanish Grand Prix
VER,2.0,Red Bull Racing,2021,Spanish Grand Prix
BOT,3.0,Mercedes,2021,Spanish Grand Prix
LEC,4.0,Ferrari,2021,Spanish Grand Prix
PER,8.0,Red Bull Racing,2021,Spanish Grand Prix
RIC,7.0,McLaren,2021,Spanish Grand Prix
SAI,6.0,Ferrari,2021,Spanish Grand Prix
NOR,9.0,McLaren,2021,Spanish Grand Prix
OCO,5.0,Alpine,2021,Spanish Grand Prix
GAS,12.0,AlphaTauri,2021,Spanish Grand Prix
STR,11.0,Aston Martin,2021,Spanish Grand Prix
RAI,17.0,Alfa Romeo Racing,2021,Spanish Grand Prix
VET,13.0,Aston Martin,2021,Spanish Grand Prix
RUS,15.0,Williams,2021,Spanish Grand Prix
GIO,14.0,Alfa Romeo Racing,2021,Spanish Grand Prix
LAT,19.0,Williams,2021,Spanish Grand Prix
ALO,10.0,Alpine,2021,Spanish Grand Prix
MSC,18.0,Haas F1 Team,2021,Spanish Grand Prix
MAZ,20.0,Haas F1 Team,2021,Spanish Grand Prix
TSU,16.0,AlphaTauri,2021,Spanish Grand Prix
VER,2.0,Red Bull Racing,2021,Monaco Grand Prix
SAI,4.0,Ferrari,2021,Monaco Grand Prix
NOR,5.0,McLaren,2021,Monaco Grand Prix
PER,9.0,Red Bull Racing,2021,Monaco Grand Prix
VET,8.0,Aston Martin,2021,Monaco Grand Prix
GAS,6.0,AlphaTauri,2021,Monaco Grand Prix
HAM,7.0,Mercedes,2021,Monaco Grand Prix
STR,13.0,Aston Martin,2021,Monaco Grand Prix
OCO,11.0,Alpine,2021,Monaco Grand Prix
GIO,10.0,Alfa Romeo Racing,2021,Monaco Grand Prix
RAI,14.0,Alfa Romeo Racing,2021,Monaco Grand Prix
RIC,12.0,McLaren,2021,Monaco Grand Prix
ALO,17.0,Alpine,2021,Monaco Grand Prix
RUS,15.0,Williams,2021,Monaco Grand Prix
LAT,18.0,Williams,2021,Monaco Grand Prix
TSU,16.0,AlphaTauri,2021,Monaco Grand Prix
MAZ,19.0,Haas F1 Team,2021,Monaco Grand Prix
MSC,20.0,Haas F1 Team,2021,Monaco Grand Prix
BOT,3.0,Mercedes,2021,Monaco Grand Prix
LEC,1.0,Ferrari,2021,Monaco Grand Prix
PER,6.0,Red Bull Racing,2021,Azerbaijan Grand Prix
VET,11.0,Aston Martin,2021,Azerbaijan Grand Prix
GAS,4.0,AlphaTauri,2021,Azerbaijan Grand Prix
LEC,1.0,Ferrari,2021,Azerbaijan Grand Prix
NOR,9.0,McLaren,2021,Azerbaijan Grand Prix
ALO,8.0,Alpine,2021,Azerbaijan Grand Prix
TSU,7.0,AlphaTauri,2021,Azerbaijan Grand Prix
SAI,5.0,Ferrari,2021,Azerbaijan Grand Prix
RIC,13.0,McLaren,2021,Azerbaijan Grand Prix
RAI,14.0,Alfa Romeo Racing,2021,Azerbaijan Grand Prix
GIO,20.0,Alfa Romeo Racing,2021,Azerbaijan Grand Prix
BOT,10.0,Mercedes,2021,Azerbaijan Grand Prix
MSC,17.0,Haas F1 Team,2021,Azerbaijan Grand Prix
MAZ,18.0,Haas F1 Team,2021,Azerbaijan Grand Prix
HAM,2.0,Mercedes,2021,Azerbaijan Grand Prix
LAT,16.0,Williams,2021,Azerbaijan Grand Prix
RUS,15.0,Williams,2021,Azerbaijan Grand Prix
VER,3.0,Red Bull Racing,2021,Azerbaijan Grand Prix
STR,19.0,Aston Martin,2021,Azerbaijan Grand Prix
OCO,12.0,Alpine,2021,Azerbaijan Grand Prix
VER,1.0,Red Bull Racing,2021,French Grand Prix
HAM,2.0,Mercedes,2021,French Grand Prix
PER,4.0,Red Bull Racing,2021,French Grand Prix
BOT,3.0,Mercedes,2021,French Grand Prix
NOR,8.0,McLaren,2021,French Grand Prix
RIC,10.0,McLaren,2021,French Grand Prix
GAS,6.0,AlphaTauri,2021,French Grand Prix
ALO,9.0,Alpine,2021,French Grand Prix
VET,12.0,Aston Martin,2021,French Grand Prix
STR,19.0,Aston Martin,2021,French Grand Prix
SAI,5.0,Ferrari,2021,French Grand Prix
RUS,14.0,Williams,2021,French Grand Prix
TSU,0.0,AlphaTauri,2021,French Grand Prix
OCO,11.0,Alpine,2021,French Grand Prix
GIO,13.0,Alfa Romeo Racing,2021,French Grand Prix
LEC,7.0,Ferrari,2021,French Grand Prix
RAI,17.0,Alfa Romeo Racing,2021,French Grand Prix
LAT,16.0,Williams,2021,French Grand Prix
MSC,15.0,Haas F1 Team,2021,French Grand Prix
MAZ,18.0,Haas F1 Team,2021,French Grand Prix
VER,1.0,Red Bull Racing,2021,Styrian Grand Prix
HAM,2.0,Mercedes,2021,Styrian Grand Prix
BOT,5.0,Mercedes,2021,Styrian Grand Prix
PER,4.0,Red Bull Racing,2021,Styrian Grand Prix
NOR,3.0,McLaren,2021,Styrian Grand Prix
SAI,12.0,Ferrari,2021,Styrian Grand Prix
LEC,7.0,Ferrari,2021,Styrian Grand Prix
STR,9.0,Aston Martin,2021,Styrian Grand Prix
ALO,8.0,Alpine,2021,Styrian Grand Prix
TSU,11.0,AlphaTauri,2021,Styrian Grand Prix
RAI,18.0,Alfa Romeo Racing,2021,Styrian Grand Prix
VET,14.0,Aston Martin,2021,Styrian Grand Prix
RIC,13.0,McLaren,2021,Styrian Grand Prix
OCO,17.0,Alpine,2021,Styrian Grand Prix
GIO,15.0,Alfa Romeo Racing,2021,Styrian Grand Prix
MSC,19.0,Haas F1 Team,2021,Styrian Grand Prix
LAT,16.0,Williams,2021,Styrian Grand Prix
MAZ,20.0,Haas F1 Team,2021,Styrian Grand Prix
RUS,10.0,Williams,2021,Styrian Grand Prix
GAS,6.0,AlphaTauri,2021,Styrian Grand Prix
VER,1.0,Red Bull Racing,2021,Austrian Grand Prix
BOT,5.0,Mercedes,2021,Austrian Grand Prix
NOR,2.0,McLaren,2021,Austrian Grand Prix
HAM,4.0,Mercedes,2021,Austrian Grand Prix
SAI,10.0,Ferrari,2021,Austrian Grand Prix
PER,3.0,Red Bull Racing,2021,Austrian Grand Prix
RIC,13.0,McLaren,2021,Austrian Grand Prix
LEC,12.0,Ferrari,2021,Austrian Grand Prix
GAS,6.0,AlphaTauri,2021,Austrian Grand Prix
ALO,14.0,Alpine,2021,Austrian Grand Prix
RUS,8.0,Williams,2021,Austrian Grand Prix
TSU,7.0,AlphaTauri,2021,Austrian Grand Prix
STR,9.0,Aston Martin,2021,Austrian Grand Prix
GIO,15.0,Alfa Romeo Racing,2021,Austrian Grand Prix
RAI,16.0,Alfa Romeo Racing,2021,Austrian Grand Prix
LAT,18.0,Williams,2021,Austrian Grand Prix
VET,11.0,Aston Martin,2021,Austrian Grand Prix
MSC,19.0,Haas F1 Team,2021,Austrian Grand Prix
MAZ,20.0,Haas F1 Team,2021,Austrian Grand Prix
OCO,17.0,Alpine,2021,Austrian Grand Prix
HAM,2.0,Mercedes,2021,British Grand Prix
LEC,4.0,Ferrari,2021,British Grand Prix
BOT,3.0,Mercedes,2021,British Grand Prix
NOR,5.0,McLaren,2021,British Grand Prix
RIC,6.0,McLaren,2021,British Grand Prix
SAI,10.0,Ferrari,2021,British Grand Prix
ALO,7.0,Alpine,2021,British Grand Prix
STR,14.0,Aston Martin,2021,British Grand Prix
OCO,9.0,Alpine,2021,British Grand Prix
TSU,16.0,AlphaTauri,2021,British Grand Prix
GAS,11.0,AlphaTauri,2021,British Grand Prix
RUS,12.0,Williams,2021,British Grand Prix
GIO,15.0,Alfa Romeo Racing,2021,British Grand Prix
LAT,17.0,Williams,2021,British Grand Prix
RAI,13.0,Alfa Romeo Racing,2021,British Grand Prix
PER,0.0,Red Bull Racing,2021,British Grand Prix
MAZ,19.0,Haas F1 Team,2021,British Grand Prix
MSC,18.0,Haas F1 Team,2021,British Grand Prix
VET,8.0,Aston Martin,2021,British Grand Prix
VER,1.0,Red Bull Racing,2021,British Grand Prix
OCO,8.0,Alpine,2021,Hungarian Grand Prix
HAM,1.0,Mercedes,2021,Hungarian Grand Prix
SAI,15.0,Ferrari,2021,Hungarian Grand Prix
ALO,9.0,Alpine,2021,Hungarian Grand Prix
GAS,5.0,AlphaTauri,2021,Hungarian Grand Prix
TSU,16.0,AlphaTauri,2021,Hungarian Grand Prix
LAT,18.0,Williams,2021,Hungarian Grand Prix
RUS,17.0,Williams,2021,Hungarian Grand Prix
VER,3.0,Red Bull Racing,2021,Hungarian Grand Prix
RAI,13.0,Alfa Romeo Racing,2021,Hungarian Grand Prix
RIC,11.0,McLaren,2021,Hungarian Grand Prix
MSC,20.0,Haas F1 Team,2021,Hungarian Grand Prix
GIO,0.0,Alfa Romeo Racing,2021,Hungarian Grand Prix
MAZ,19.0,Haas F1 Team,2021,Hungarian Grand Prix
NOR,6.0,McLaren,2021,Hungarian Grand Prix
BOT,2.0,Mercedes,2021,Hungarian Grand Prix
PER,4.0,Red Bull Racing,2021,Hungarian Grand Prix
LEC,7.0,Ferrari,2021,Hungarian Grand Prix
STR,12.0,Aston Martin,2021,Hungarian Grand Prix
VET,10.0,Aston Martin,2021,Hungarian Grand Prix
VER,1.0,Red Bull Racing,2021,Belgian Grand Prix
RUS,2.0,Williams,2021,Belgian Grand Prix
HAM,3.0,Mercedes,2021,Belgian Grand Prix
RIC,4.0,McLaren,2021,Belgian Grand Prix
VET,5.0,Aston Martin,2021,Belgian Grand Prix
GAS,6.0,AlphaTauri,2021,Belgian Grand Prix
OCO,8.0,Alpine,2021,Belgian Grand Prix
LEC,9.0,Ferrari,2021,Belgian Grand Prix
LAT,10.0,Williams,2021,Belgian Grand Prix
SAI,11.0,Ferrari,2021,Belgian Grand Prix
ALO,12.0,Alpine,2021,Belgian Grand Prix
BOT,13.0,Mercedes,2021,Belgian Grand Prix
GIO,14.0,Alfa Romeo Racing,2021,Belgian Grand Prix
NOR,15.0,McLaren,2021,Belgian Grand Prix
TSU,16.0,AlphaTauri,2021,Belgian Grand Prix
MSC,17.0,Haas F1 Team,2021,Belgian Grand Prix
MAZ,18.0,Haas F1 Team,2021,Belgian Grand Prix
RAI,0.0,Alfa Romeo Racing,2021,Belgian Grand Prix
PER,0.0,Red Bull Racing,2021,Belgian Grand Prix
STR,19.0,Aston Martin,2021,Belgian Grand Prix
VER,1.0,Red Bull Racing,2021,Dutch Grand Prix
HAM,2.0,Mercedes,2021,Dutch Grand Prix
BOT,3.0,Mercedes,2021,Dutch Grand Prix
GAS,4.0,AlphaTauri,2021,Dutch Grand Prix
LEC,5.0,Ferrari,2021,Dutch Grand Prix
ALO,9.0,Alpine,2021,Dutch Grand Prix
SAI,6.0,Ferrari,2021,Dutch Grand Prix
PER,0.0,Red Bull Racing,2021,Dutch Grand Prix
OCO,8.0,Alpine,2021,Dutch Grand Prix
NOR,13.0,McLaren,2021,Dutch Grand Prix
RIC,10.0,McLaren,2021,Dutch Grand Prix
STR,12.0,Aston Martin,2021,Dutch Grand Prix
VET,15.0,Aston Martin,2021,Dutch Grand Prix
GIO,7.0,Alfa Romeo Racing,2021,Dutch Grand Prix
KUB,16.0,Alfa Romeo Racing,2021,Dutch Grand Prix
LAT,0.0,Williams,2021,Dutch Grand Prix
RUS,11.0,Williams,2021,Dutch Grand Prix
MSC,17.0,Haas F1 Team,2021,Dutch Grand Prix
TSU,14.0,AlphaTauri,2021,Dutch Grand Prix
MAZ,18.0,Haas F1 Team,2021,Dutch Grand Prix
RIC,2.0,McLaren,2021,Italian Grand Prix
NOR,3.0,McLaren,2021,Italian Grand Prix
BOT,19.0,Mercedes,2021,Italian Grand Prix
LEC,5.0,Ferrari,2021,Italian Grand Prix
PER,8.0,Red Bull Racing,2021,Italian Grand Prix
SAI,6.0,Ferrari,2021,Italian Grand Prix
STR,9.0,Aston Martin,2021,Italian Grand Prix
ALO,10.0,Alpine,2021,Italian Grand Prix
RUS,14.0,Williams,2021,Italian Grand Prix
OCO,12.0,Alpine,2021,Italian Grand Prix
LAT,13.0,Williams,2021,Italian Grand Prix
VET,11.0,Aston Martin,2021,Italian Grand Prix
GIO,7.0,Alfa Romeo Racing,2021,Italian Grand Prix
KUB,17.0,Alfa Romeo Racing,2021,Italian Grand Prix
MSC,18.0,Haas F1 Team,2021,Italian Grand Prix
MAZ,16.0,Haas F1 Team,2021,Italian Grand Prix
HAM,4.0,Mercedes,2021,Italian Grand Prix
VER,1.0,Red Bull Racing,2021,Italian Grand Prix
GAS,0.0,AlphaTauri,2021,Italian Grand Prix
TSU,0.0,AlphaTauri,2021,Italian Grand Prix
HAM,4.0,Mercedes,2021,Russian Grand Prix
VER,20.0,Red Bull Racing,2021,Russian Grand Prix
SAI,2.0,Ferrari,2021,Russian Grand Prix
RIC,5.0,McLaren,2021,Russian Grand Prix
BOT,16.0,Mercedes,2021,Russian Grand Prix
ALO,6.0,Alpine,2021,Russian Grand Prix
NOR,1.0,McLaren,2021,Russian Grand Prix
RAI,13.0,Alfa Romeo Racing,2021,Russian Grand Prix
PER,8.0,Red Bull Racing,2021,Russian Grand Prix
RUS,3.0,Williams,2021,Russian Grand Prix
STR,7.0,Aston Martin,2021,Russian Grand Prix
VET,10.0,Aston Martin,2021,Russian Grand Prix
GAS,11.0,AlphaTauri,2021,Russian Grand Prix
OCO,9.0,Alpine,2021,Russian Grand Prix
LEC,19.0,Ferrari,2021,Russian Grand Prix
GIO,17.0,Alfa Romeo Racing,2021,Russian Grand Prix
TSU,12.0,AlphaTauri,2021,Russian Grand Prix
MAZ,15.0,Haas F1 Team,2021,Russian Grand Prix
LAT,18.0,Williams,2021,Russian Grand Prix
MSC,14.0,Haas F1 Team,2021,Russian Grand Prix
BOT,1.0,Mercedes,2021,Turkish Grand Prix
VER,2.0,Red Bull Racing,2021,Turkish Grand Prix
PER,6.0,Red Bull Racing,2021,Turkish Grand Prix
LEC,3.0,Ferrari,2021,Turkish Grand Prix
HAM,11.0,Mercedes,2021,Turkish Grand Prix
GAS,4.0,AlphaTauri,2021,Turkish Grand Prix
NOR,7.0,McLaren,2021,Turkish Grand Prix
SAI,19.0,Ferrari,2021,Turkish Grand Prix
STR,8.0,Aston Martin,2021,Turkish Grand Prix
OCO,12.0,Alpine,2021,Turkish Grand Prix
GIO,16.0,Alfa Romeo Racing,2021,Turkish Grand Prix
